Sign Asset ID,Asset Location ID,MUTCD Code,Sign Message,Asset Name,Asset Size,Asset Category,Asset Sub Category,Direction Facing,Sign Mount,Asset Condition,Asset Status,QC Status,QC Type,Asset Installation Date,Asset Removal Date,Data Collection Date,Created Date,Modified Date,Latitude,Longitude,Location
"677,227","612,075",D3-1,FAIR OAKS DR,Street Name,,SIGN_GUIDE,Street Name,NE,1.0,2.0,1.0,QC Complete,,,,2021 Feb 12 12:00:00 AM,2023 Oct 04 02:09:31 PM,2024 Jan 03 03:37:54 PM,30.219262388533505,-97.79512736443228,POINT (-97.795127364432 30.219262388534)
"77,755","40,345",,,Sign Post,,SIGN_POLE,,,1.0,2.0,1.0,QC Complete,,,,2021 Oct 29 12:00:00 AM,2022 Jun 30 02:03:59 PM,2022 Jun 30 02:57:51 PM,30.268784966854263,-97.73068880923348,POINT (-97.730688809233 30.268784966854)
"559,738","274,525",D3-1,HIGGINS ST,Street Name,,SIGN_GUIDE,Street Name,NE,1.0,2.0,1.0,QC Complete,,,,2021 Nov 07 12:00:00 AM,2023 Jan 04 01:56:33 PM,2023 Mar 28 06:16:23 PM,30.28278179402708,-97.70679972421344,POINT (-97.706799724213 30.282781794027)
"571,791","279,927",D3-1,JANEY DR,Street Name,,SIGN_GUIDE,Street Name,NW,1.0,2.0,1.0,QC Complete,,,,2021 Nov 05 12:00:00 AM,2023 Jan 04 02:03:25 PM,2023 Mar 28 06:16:23 PM,30.339880898043987,-97.74958963904238,POINT (-97.749589639042 30.339880898044)
"748,331","710,225",R8-3,NO PARKING LEFT ARROW,Sign Post,,SIGN_REGULATORY,Parking,NW,1.0,2.0,1.0,QC Complete,,,,2021 Apr 12 12:00:00 AM,2023 Oct 04 06:08:15 PM,2023 Oct 05 11:01:40 PM,30.28970581411957,-97.74224219473945,POINT (-97.742242194739 30.28970581412)
"758,419","708,870",R7-20,PAY TO PARK RIGHT ARROW,Sign Post,,SIGN_REGULATORY,Parking,NW,1.0,2.0,1.0,QC Complete,,,,2021 Apr 12 12:00:00 AM,2023 Oct 04 06:16:35 PM,2023 Oct 05 11:01:40 PM,30.28007188318302,-97.74672255939116,POINT (-97.746722559391 30.280071883183)
"546,482","270,941",R7-201P,TOW-AWAY ZONE,Sign Post,,SIGN_REGULATORY,Parking,SE,1.0,2.0,1.0,QC Complete,,,,2021 Oct 29 12:00:00 AM,2023 Jan 03 08:28:02 PM,2023 Mar 28 06:16:23 PM,30.294901577630288,-97.7350698538348,POINT (-97.735069853835 30.29490157763)
"637,275","618,270",,,Sign Post,,SIGN_POLE,,,1.0,2.0,1.0,,,,,2021 Nov 11 12:00:00 AM,2023 Oct 03 08:29:37 PM,2023 Oct 03 08:29:37 PM,30.23819563896826,-97.71848888839918,POINT (-97.718488888399 30.238195638968)
"658,239","604,578",D3-1,AUCKLAND DR,Street Name,,SIGN_GUIDE,Street Name,SE,1.0,2.0,1.0,QC Complete,,,,2021 Nov 30 12:00:00 AM,2023 Oct 04 01:54:28 PM,2024 Jan 03 03:37:54 PM,30.211129119951696,-97.88721187670905,POINT (-97.887211876709 30.211129119952)
"645,950","602,608",D3-1,STANDING CYPRESS DR,Street Name,,SIGN_GUIDE,Street Name,NW,1.0,2.0,1.0,QC Complete,,,,2021 Nov 18 12:00:00 AM,2023 Oct 03 08:42:58 PM,2023 Oct 05 11:01:40 PM,30.16714039904677,-97.88806473642666,POINT (-97.888064736427 30.167140399047)
